분양,3057
재건축,2484
아파트,2160
가구,1433
단지,1405
서울,1359
시장,1063
부동산,1013
가격,1003
강남,994
거래,925
3.3,856
상승,725
전용,718
지역,683
매매,633
강남구,631
일반,582
개포동,558
주택,526
면적,519
청약,504
평균,451
대책,418
규제,397
공급,385
정부,379
개포,375
물량,354
개포주공,346
강남권,346
래미안,330
서초구,322
수도,319
전세,317
1억,312
분양가,310
지구,308
예정,297
사업,293
대출,292
경기,282
하락,281
관계자,279
경쟁,279
매물,274
기록,271
호가,265
3월,263
입주,259
수요,257
최고,253
송파구,251
신도시,251
투자,250
9억,250
가능,240
인근,238
000만,234
재개발,231
보증,229
주공,227
금리,225
전국,221
1만,221
기준,214
시세,212
강남_재건축,205
전망,203
상황,195
지방,195
6월,194
영향,192
4월,191
분위기,190
집값,187
7억,184
5월,182
일반분양,181
지난달,180
조합,178
시작,175
건축,175
부동산114,174
예상,173
공인,171
2월,171
규모,170
내년,169
1년,169
일대,168
강남구_개포동,168
블레스티지,167
거래량,166
이달,166
1월,166
2억,164
잠원동,164
상반기,161
강동구,159
재건축_아파트,157
정도,157
수도권,155
과열,155
중심,154
계약,153
중도금,152
1순위,151
도시,149
원대,148
대비,147
부동산_시장,147
2단지,146
500만,146
7월,146
서울_강남구,145
기간,145
주택시장,143
상승세,141
강화,140
8억,140
조합원,139
5억,139
삼성물산,138
가량,138
중개,136
3억,135
대표,135
디에이치,134
제한,132
가능성,130
9월,130
6억,130
0.0003,130
전매,128
웃돈,128
대상,128
서울시,127
전문가,127
원가량,125
조정,124
수준,124
조사,124
주변,124
위원,123
건설사,122
계획,122
4억,121
1000만,120
증가,120
문의,119
이주,119
8월,119
업소,117
아너힐즈,117
사람,116
신규,115
2만,115
월세,115
추가,114
증여,114
전용면적,113
저금리,112
11,112
래미안_블레스티지,112
부산,111
경쟁률,111
현대건설,110
관심,109
업계,108
서초,107
대치동,107
적용,106
아파트값,106
강남권_재건축,106
시설,105
추진,104
인천,103
0.0005,103
주거,103
최대,102
제외,102
동탄,102
분양권,101
중소,101
신반포,101
송파,100
가계,100
현상,99
포함,99
전문,98
인기,98
부채,98
매수,97
전매제한,97
투자자,96
관리,96
결과,96
모습,96
설명,96
하지만,95
평균_분양가,95
반포,95
구역,94
확인,94
1,94
실수요자,94
초과,94
3단지,94
위축,93
시행,93
실거래,93
실제,92
재건축_단지,92
전문가들,90
0.0002,90
중개사,90
급등,89
0.0001,89
역대,88
진행,88
수요자,87
3구,87
반포동,87
국토교통부,86
인상,85
전셋값,85
3,85
4000만,84
HUG,84
논란,84
만큼,83
10억,83
지난주,83
리서치,83
개포주공3단지,83
0.0007,83
4,83
4만,83
심사,82
변동,81
자금,81
팀장,81
기대감,81
투기,81
2년,81
경제,81
원씩,81
대형,81
정보,80
정책,80
호재,79
수익,79
비중,79
개포지구,79
전환,78
부담,78
위례,78
KB국민은행,77
프리미엄,77
압구정동,77
0.0006,77
지상,77
디에이치_아너힐즈,76
사이,76
4단지,76
0.0012,76
상승률,76
지하,76
지속,75
잠실,75
열기,75
수석,75
0.0004,75
서울_강남,74
분양시장,74
이익,74
서울_아파트,74
3만,74
책정,74
심리,73
강북,73
금융,73
2,73
브랜드,73
상태,72
신청,72
효과,72
관망세,71
미분양,71
학군,70
택지,69
1단지,69
인하,69
과천,68
입지,68
대구,68
0.0009,68
시공사,68
단지들,67
1위,67
정비,67
한강,67
전주,67
아크로리버뷰,66
하락세,65
매매가격,65
3일,65
6개월,65
감소,65
잠실동,65
물건,65
5000만,64
사진,64
11월,64
0.0008,63
주민,63
보증금,63
서비스,63
속도,62
마련,62
고분양가,62
중도금_대출,61
소형,61
서초구_잠원동,61
제공,61
건설,61
상승폭,61
2차,61
평가,60
서울_재건축,60
비교,60
리모델링,60
강남4구,59
신반포자이,59
환경,59
변수,59
집주인,59
센터장,59
아이파크,58
대단지,58
압구정,58
공사,58
집단대출,58
최고가,58
성공,57
모집,57
지적,56
강동,56
지정,56
구성,56
집중,55
5만,55
GS건설,55
주목,55
4구,54
형성,54
대림산업,54
지하철,54
위치,54
오피스텔,54
매수자,54
2000만,54
원선,54
중개소,54
저층,54
업체,53
임대,53
부동산인포,53
교통,53
마감,52
재건축_사업,51
방안,51
집계,51
동탄2,51
개포시영,51
10월,51
거품,51
강남_3구,50
설계,50
환수,50
2주,50
은행,49
재건축_시장,49
강남3구,49
마포구,49
블록,49
6만,49
매매_거래,48
투자자들,48
분담금,48
매도자,48
평형,48
11억,48
시점,48
차지,48
중소형,48
매매가,47
비수기,47
잠실주공,47
건설사들,47
사람들,47
박원갑,47
급매물,46
시중,46
대규모,46
포인트,46
유지,46
매입,45
서울_강남권,45
서울_서초구,45
건수,45
1일,45
아파트_가격,45
3000만,45
조성,45
단속,45
0.1,45
수치,44
13억,44
12억,44
강세,44
차익,44
불법,44
과잉,44
양천구,44
15억,44
고덕,44
59~84,44
분양권_전매,43
일반분양분,43
금액,43
생활,43
상대,43
역세권,43
검토,43
미국,42
사실,42
대치,42
청약경쟁률,42
고급,42
단독,42
서대문구,42
견본,42
매도,42
결정,42
2배,42
0.0017,42
도곡동,42
공인중개사,41
2위,41
확산,41
처분,41
투기과열지구,41
개통,40
주택담보대출,40
둔화,40
5년,40
가격_상승,40
리얼타임,40
흐름,39
안정,39
오름세,39
단계,39
소폭,39
위주,39
자료,39
당첨,39
일반_분양,39
래미안블레스티지,39
동작구,39
하루,39
5단지,39
주도,39
현대,39
침체,39
상대적,39
차별,39
상가,39
한국감정원,39
자녀,39
비율,38
3개월,38
연말,38
경기도,38
이용,38
입장,38
분양가격,38
힐스테이트,38
연속,38
안팎,38
부촌,38
개포주공2단지,38
주택도시보증공사,38
고분양가_논란,38
5층,38
접수,37
은평구,37
0.0013,37
세입자,37
체결,37
얘기,37
1분기,37
요인,37
교육,37
요즘,37
목적,36
1인,36
인접,36
성북구,36
감안,36
양극,36
부족,36
일산,36
생각,36
목동,36
상환,35
단기,35
미사,35
고덕주공,35
접근,35
도심,35
절반,35
5천만,35
장점,35
커뮤니티,35
일반_아파트,35
일원,35
MK,35
25.7평,35
악재,34
e편한세상,34
0.0015,34
전화,34
양상,34
이날,34
상품,34
등장,34
0.0011,34
한신,34
민간,34
서울_송파구,33
수요자들,33
개포주공1단지,33
화성,33
7일,33
토지,33
실수요,33
여파,33
5,33
실거래가,33
차별화,33
8,33
조치,33
반응,33
일정,33
0.0024,33
하우스,33
박합수,33
자산,33
2층,33
매수_문의,32
노후,32
청약자,32
리서치팀장,32
14억,32
번지,32
삼성동,32
12월,32
거주,32
선정,32
사례,32
완화,32
본격화,32
박원갑_KB국민은행,32
4일,32
함영진,32
분당,32
잠원,32
차이,32
약세,31
개포주공4단지,31
신한은행,31
청약시장,31
축소,31
준비,31
작용,31
청약통장,31
의견,31
6,31
하남,31
조합원_입주권,31
준공,31
집주인들,31
루체하임,31
장관,31
변동률,30
복합,30
둔촌주공,30
다음달,30
서울부동산정보광장,30
요건,30
서초구_반포동,30
최씨,30
자격,30
견본주택,30
5일,30
한지숙,30
평택,30
자이,30
용산구,30
주말,30
송파구_잠실동,30
분양권_거래,30
3_부동산,30
마지막,30
심화,30
전반,30
분양물량,30
녹지,30
10년,30
현황,30
고분양,30
3층,30
MK리얼타임,30
실시간,30
수서역,29
부동산_대책,29
돌파,29
일반분양_물량,29
재산,29
헤럴드,29
개선,29
직전,29
재건축_아파트값,29
그동안,29
센터,29
보합세,29
통계,29
당장,29
마포,29
과거,29
불가능,29
대모산,29
호텔,29
예고,29
자리,29
시대,29
국토부,29
계약서,29
세종시,28
롯데캐슬,28
용인,28
투자수요,28
대출_규제,28
국민은행,28
단위,28
불안,28
육박,28
유예,28
1500만,28
추세,28
우수,28
8일,28
3개,28
래미안_루체하임,28
일원동,28
사업장,28
확정,28
중대,28
현지,28
사무소,28
부지,28
396가구,28
광역,27
설립,27
1순위_청약,27
다세대,27
권일,27
발생,27
가상한,27
3주,27
전주_대비,27
구현대,27
0.0018,27
아파트_매매가격,27
0.28,27
공원,27
세금,27
연초,27
도곡스타PB센터,27
가치,27
이사,27
행진,27
1구역,27
9일,26
은마아파트,26
매수세,26
현장,26
기조,26
2건,26
광풍,26
조언,26
1,26
4개,26
나머지,26
세대,26
대출규제,26
성동구,26
0.0021,26
소식,26
중도금_집단대출,26
교수,26
공간,26
승인,26
전세가격,26
연구원,26
예측,26
2개,26
