여성,6404,
강남,6301,
서울,6288,
경찰,6234,
혐의,5700,
수사,5457,
사건,4715,
검찰,4306,
조사,4134,
분양,3851,
사람,3352,
아파트,3305,
A씨,2896,
김씨,2838,
시장,2787,
부동산,2747,
범죄,2656,
수석,2538,
앵커,2523,
지역,2509,
의혹,2430,
부장,2345,
사실,2318,
대표,2230,
재건축,2110,
주택,2092,
최순실,2067,
대통령,2064,
구속,2046,
정부,2028,
검사,1949,
인터뷰,1946,
상황,1919,
가능,1916,
이씨,1830,
성폭행,1806,
자신,1797,
규제,1784,
생각,1768,
대출,1764,
범행,1671,
서울_강남,1669,
사회,1666,
박유천,1659,
고소,1615,
관계자,1610,
남성,1607,
성매매,1573,
정도,1561,
투자,1537,
박씨,1528,
사업,1523,
피해자,1495,
확인,1489,
살인,1467,
화장실,1464,
가격,1449,
하지만,1446,
가구,1402,
대책,1388,
얘기,1387,
시작,1362,
거래,1361,
주장,1351,
회장,1346,
대상,1334,
결과,1313,
기소,1297,
관리,1271,
변호사,1246,
피해,1216,
경제,1192,
발생,1184,
청약,1176,
1년,1171,
사기,1157,
판사,1157,
보도,1154,
현장,1154,
사고,1143,
상태,1129,
청와대,1126,
피의자,1094,
진행,1094,
단지,1086,
특별,1082,
혐오,1071,
기업,1068,
한국,1066,
결국,1060,
병원,1054,
예정,1037,
제한,1032,
공급,1029,
특검,1027,
가능성,1024,
사람들,1002,
사진,995,
회사,990,
신고,977,
건물,957,
상승,948,
설명,934,
운영,932,
이날,929,
마약,925,
국민,924,
논란,911,
계획,907,
1억,902,
최씨,892,
조직,885,
정책,885,
중국,859,
입장,858,
강화,854,
일반,852,
5월,849,
6월,846,
정보,844,
팀장,843,
의사,835,
차량,832,
정신,830,
학교,829,
적용,825,
처벌,825,
교수,824,
업체,823,
진술,823,
보증,823,
추가,822,
박근혜,822,
수도,815,
금융,814,
원대,814,
학생,814,
상대,812,
7월,800,
기록,785,
강남역,778,
살해,772,
지적,768,
경기,764,
중도금,760,
기간,760,
형사,760,
미국,759,
인근,759,
사이,755,
정씨,748,
오피스텔,748,
시민,745,
수요,745,
제기,744,
직원,740,
가족,739,
지원,728,
압수,727,
불법,722,
친구,721,
3명,718,
위반,716,
재판,714,
모습,710,
중심,708,
추모,705,
이야기,705,
기사,704,
매매,701,
기준,701,
과열,699,
전국,699,
부산,699,
말씀,698,
교육,696,
환자,696,
수술,694,
수색,690,
2년,689,
의원,687,
금리,686,
전망,681,
지난달,671,
차례,666,
3월,665,
대학,664,
주변,661,
포함,658,
개인,656,
사용,651,
여자,651,
이용,650,
생활,649,
도시,648,
요구,647,
성관계,645,
여성들,641,
전문가,639,
1월,639,
강남구,638,
활동,638,
공개,637,
여부,636,
검거,636,
아들,635,
우병우,631,
8월,630,
3년,630,
예상,629,
뇌물,628,
입주,620,
아이,620,
입건,619,
가지,617,
행위,616,
관심,616,
지방,613,
단속,610,
업무,610,
가계,610,
재산,602,
투약,602,
자금,601,
부채,601,
물량,600,
발견,599,
호텔,598,
9월,595,
인정,595,
경쟁,593,
4명,592,
강제,590,
만큼,590,
폭행,589,
법원,588,
안전,588,
심리,587,
확보,587,
체포,587,
규모,585,
검토,579,
영향,579,
전매,575,
마련,573,
분들,571,
넥슨,570,
평균,570,
소환,569,
은행,568,
선고,568,
집중,567,
2명,566,
수준,561,
문화,561,
결정,560,
제공,559,
출신,556,
사무실,555,
것들,553,
판단,553,
자리,553,
계약,553,
공간,552,
주민,551,
제출,550,
중요,550,
치료,548,
1만,546,
4월,544,
적발,544,
징역,543,
영장,538,
조정,537,
부인,535,
2월,531,
유흥업소,531,
이름,530,
일대,528,
구조,527,
방송,524,
수익,523,
금품,522,
횡령,522,
현직,521,
영상,520,
자체,519,
효과,518,
실제,515,
폭력,514,
유명,513,
투기,512,
본인,512,
불구속,511,
4억,511,
증가,510,
확대,508,
언론,508,
국정,507,
고소장,507,
준비,506,
기관,506,
자료,505,
근무,504,
국가,499,
파악,499,
6개월,499,
가수,498,
최대,497,
판매,496,
화재,494,
민정,491,
